,Latitude,Longitude,Name,X,Y
101,1.29289175425,103.8608918,PROMENADE MRT STATION,31068.6608,30586.937
102,1.40454672779,103.902072638,PUNGGOL MRT STATION,35651.3846,42933.2694
103,1.29455085173,103.806077156,QUEENSTOWN MRT STATION,24968.2673,30770.3911
104,1.28412561057,103.851461712,RAFFLES PLACE MRT STATION,30019.1805,29617.6126
105,1.28963453338,103.81674097,REDHILL MRT STATION,26155.0533,30226.7597
106,1.30385218548,103.852769429,ROCHOR MRT STATION,30164.7019,31798.8767
107,1.44905082123,103.820046141,SEMBAWANG MRT STATION,26522.9883,47854.1998
108,1.3916946261,103.895484694,SENGKANG MRT STATION,34918.274,41512.1277
109,1.35063361483,103.872771661,SERANGOON MRT STATION,32390.6853,36971.7545
110,1.27773021973,103.850405709,SHENTON WAY MRT STATION,29901.6608,28910.4425
111,1.30999484426,103.930297049,SIGLAP MRT STATION,38792.7964,32478.3007
112,1.34320289493,103.953371694,SIMEI MRT STATION,41360.6138,36150.3959
113,1.33085764535,103.796906839,SIXTH AVENUE MRT STATION,23947.7494,34785.0233
114,1.30025287693,103.839158337,SOMERSET MRT STATION,28649.9126,31400.8761
115,1.39757790701,103.817799543,SPRINGLEAF MRT STATION,26272.9393,42162.5857
116,1.30281246884,103.875337711,STADIUM MRT STATION,32676.3477,31683.9408
117,1.32006555791,103.826024402,STEVENS MRT STATION,27188.23,33591.6609
118,1.32039875927,103.957242034,SUNGEI BEDOK MRT STATION,41791.4682,33628.847
119,1.33510208536,103.888433013,TAI SENG MRT STATION,34133.6572,35254.3905
120,1.35619148304,103.954634463,TAMPINES EAST MRT STATION,41501.0749,37586.6178
121,1.35330153288,103.945144689,TAMPINES MRT STATION,40444.9846,37267.0104
122,1.3455153053,103.938436971,TAMPINES WEST MRT STATION,39698.5276,36406.0143
123,1.32555623509,103.807760305,TAN KAH KEE MRT STATION,25155.6221,34198.8053
124,1.32718713454,103.946346461,TANAH MERAH MRT STATION,40578.8616,34379.4144
125,1.2992544132,103.897377093,TANJONG KATONG MRT STATION,35129.1416,31290.5607
126,1.27660448672,103.845952195,TANJONG PAGAR MRT STATION,29406.0209,28785.9619
127,1.29721821836,103.873488357,TANJONG RHU MRT STATION,32470.5412,31065.3539
128,1.28206894778,103.848648781,TELOK AYER MRT STATION,29706.1259,29390.1954
129,1.27070647762,103.809761611,TELOK BLANGAH MRT STATION,25378.2908,28133.7991
130,1.28619457933,103.82699894,TIONG BAHRU MRT STATION,27296.677,29846.3822
131,1.33262898712,103.847501764,TOA PAYOH MRT STATION,29578.4408,34980.8638
132,1.32102655324,103.649075477,TUAS CRESCENT MRT STATION,7495.5309,33698.6818
133,1.34086609564,103.636985602,TUAS LINK MRT STATION,6150.2146,35892.5527
134,1.32998908905,103.639614056,TUAS WEST ROAD MRT STATION,6442.6401,34689.7988
135,1.3299746288,103.899226655,UBI MRT STATION,35334.8918,34687.4518
136,1.34173748389,103.961471789,UPPER CHANGI MRT STATION,42262.0767,35988.4036
137,1.35441643373,103.832898468,UPPER THOMSON MRT STATION,27953.2465,37390.0037
138,1.43696824734,103.786462452,WOODLANDS MRT STATION,22785.6286,46518.2186
139,1.44746541049,103.786500735,WOODLANDS NORTH MRT STATION,22789.9128,47678.9425
140,1.42743341606,103.793244602,WOODLANDS SOUTH MRT STATION,23540.3601,45463.8903
141,1.33919004553,103.870818309,WOODLEIGH MRT STATION,32173.3186,35706.3794
142,1.32889914133,103.965218532,XILIN MRT STATION,42679.1259,34568.8238
143,1.39753501779,103.747405114,YEW TEE MRT STATION,18438.9791,42158.0124
144,1.38175604611,103.84494729,YIO CHU KANG MRT STATION,29294.1283,40413.082
145,1.42944308081,103.835005046,YISHUN MRT STATION,28187.6787,45686.0701
146,1.38799293427,103.905413992,BAKAU LRT STATION,36023.2878,41102.8445
147,1.38002223,103.772647371,BANGKIT LRT STATION,21248.0566,40221.4484
148,1.25129010168,103.817802341,BEACH LRT STATION,26273.1493,25986.8301
149,1.37792612944,103.763103024,BUKIT PANJANG LRT STATION,20185.8834,39989.7013
150,1.39627763134,103.893797181,CHENG LIM LRT STATION,34730.4628,42018.8886
151,1.38475541073,103.744537697,CHOA CHU KANG LRT STATION,18119.8205,40744.9184
152,1.3944930462,103.900492451,COMPASSVALE LRT STATION,35475.5631,41821.5783
153,1.39390922612,103.912580855,CORAL EDGE LRT STATION,36820.8455,41757.0642
154,1.39928198502,103.905961944,COVE LRT STATION,36084.2293,42351.1334
155,1.40523483617,103.908603544,DAMAI LRT STATION,36378.1828,43009.3794
156,1.38452079708,103.770808583,FAJAR LRT STATION,21043.4356,40718.8827
157,1.39717019646,103.88930481,FARMWAY LRT STATION,34230.5193,42117.5716
158,1.39188588774,103.876308611,FERNVALE LRT STATION,32784.2264,41533.2289
159,1.25393663355,103.819500006,IMBIAH LRT STATION,26462.0893,26279.4688
160,1.38670302501,103.764503338,JELAPANG LRT STATION,20341.7491,40960.202
161,1.39950911282,103.916574965,KADALOOR LRT STATION,37265.3156,42376.2873
162,1.38395911467,103.902225371,KANGKAR LRT STATION,35668.4482,40656.7943
163,1.37860276598,103.749055519,KEAT HONG LRT STATION,18622.5727,40064.5711
164,1.3982128284,103.881256222,KUPANG LRT STATION,33334.8164,42232.8408
165,1.39207983877,103.880029601,LAYAR LRT STATION,33198.3234,41554.6829
166,1.39691205306,103.908950217,MERIDIAN LRT STATION,36416.7925,42089.0886
167,1.41187045845,103.900313818,NIBONG LRT STATION,35455.6286,43743.0854
168,1.40228667749,103.912727356,OASIS LRT STATION,36837.1178,42683.4018
169,1.3761357435,103.771261176,PENDING LRT STATION,21093.7793,39791.7042
170,1.37775033382,103.76666896,PETIR LRT STATION,20582.7273,39970.2513
171,1.37861884445,103.758034099,PHOENIX LRT STATION,19621.7773,40066.3155
172,1.4051947013,103.902411912,PUNGGOL LRT STATION,35689.139,43004.9202
173,1.4168485205,103.90665079,PUNGGOL POINT LRT STATION,36160.8276,44293.5561
174,1.38423356067,103.89719467,RANGGUNG LRT STATION,35108.5942,40687.1255
175,1.38672392153,103.890539427,RENJONG LRT STATION,34367.9437,40962.4782
176,1.39452449577,103.916166059,RIVIERA LRT STATION,37219.8293,41825.1114
177,1.39146849684,103.905973595,RUMBIA LRT STATION,36085.5526,41487.1568
178,1.40961268509,103.904831551,SAM KEE LRT STATION,35958.3967,43493.447
179,1.41590171944,103.902156316,SAMUDERA LRT STATION,35660.6597,44188.8482
180,1.38777213086,103.769598397,SEGAR LRT STATION,20908.767,41078.4025
181,1.39160936382,103.895442584,SENGKANG LRT STATION,34913.5879,41502.6997
182,1.38269229582,103.762367226,SENJA LRT STATION,20104.0139,40516.7226
183,1.26505084303,103.821624581,SENTOSA LRT STATION,26698.5452,27508.4193
184,1.40508858485,103.89720965,SOO TECK LRT STATION,35110.1988,42993.1699
185,1.38029828722,103.7452918,SOUTH VIEW LRT STATION,18203.7243,40252.0686
186,1.40845242565,103.898558454,SUMANG LRT STATION,35260.2918,43365.1308
187,1.41277089386,103.906577623,TECK LEE LRT STATION,36152.6993,43842.6721
188,1.37668467944,103.753712232,TECK WHYE LRT STATION,19140.8,39852.4608
189,1.38032100849,103.760139777,TEN MILE JUNCTION LRT STATION,19856.1189,40254.525
190,1.3973181559,103.875635156,THANGGAM LRT STATION,32709.2689,42133.9004
191,1.38934795386,103.88584415,TONGKANG LRT STATION,33845.4132,41252.6184
192,1.25553213262,103.820949651,WATERFRONT LRT STATION,26623.4255,26455.89
