,Latitude,Longitude,Name,X,Y
93,1.29807216953,103.849756073,4019,29829.347,31159.7499
94,1.29948166655,103.850926667,4029,29959.6226,31315.6057
95,1.29400203095,103.851289839,4111,30000.0448,30709.6961
96,1.29618544054,103.849580299,4121,29809.7863,30951.125
97,1.29309826416,103.849659945,4142,29818.6524,30609.761
98,1.29411640803,103.850206069,4143,29879.4305,30722.3425
99,1.2927613238,103.849837413,4149,29838.4033,30572.504
100,1.29533777792,103.851139722,4151,29983.337,30857.396
101,1.29489484939,103.851081386,4159,29976.8451,30808.4192
102,1.29250006524,103.851453154,4167,30018.2215,30543.6166
103,1.2920822148,103.851259947,4168,29996.7195,30497.4127
104,1.29647916349,103.851471645,4179,30020.2762,30983.6048
105,1.29780475614,103.84975,4189,29828.6713,31130.1807
106,1.29043611138,103.847124444,4211,29536.4747,30315.3922
